pais,materia,grado,tema,tema_descripcion,parametro,ERCE_nivel_1,ERCE_nivel_2,ERCE_nivel_3,ERCE_nivel_4,ERCE_puntaje_promedio,TERCE_nivel_1,TERCE_nivel_2,TERCE_nivel_3,TERCE_nivel_4,TERCE_puntaje_promedio
ar,Ciencias,6,General_país,0,Todos,0.44,0.42,0.12,0.02,681.81,0.40,0.39,0.15,0.06,699.16
ar,Lectura,3,General_país,0,Todos,0.46,0.18,0.22,0.14,688.51,0.38,0.23,0.27,0.12,701.88
ar,Lectura,6,General_país,0,Todos,0.22,0.46,0.16,0.16,697.64,0.17,0.51,0.17,0.15,706.70
ar,Matemáticas,3,General_país,0,Todos,0.49,0.24,0.22,0.05,689.73,0.39,0.26,0.27,0.08,713.54
ar,Matemáticas,6,General_país,0,Todos,0.50,0.37,0.11,0.02,689.74,0.37,0.42,0.16,0.05,717.76
br,Ciencias,6,General_país,0,Todos,0.32,0.42,0.17,0.08,718.46,0.37,0.43,0.15,0.05,701.38
br,Lectura,3,General_país,0,Todos,0.28,0.15,0.27,0.30,747.75,0.34,0.22,0.32,0.13,712.09
br,Lectura,6,General_país,0,Todos,0.13,0.44,0.19,0.25,734.44,0.11,0.52,0.20,0.17,721.40
br,Matemáticas,3,General_país,0,Todos,0.31,0.22,0.29,0.18,743.78,0.37,0.24,0.27,0.12,724.88
br,Matemáticas,6,General_país,0,Todos,0.35,0.36,0.19,0.09,732.98,0.40,0.43,0.13,0.04,710.20
cl,Ciencias,6,General_país,0,Todos,,,,,,0.23,0.35,0.25,0.18,759.18
cl,Lectura,3,General_país,0,Todos,,,,,,0.10,0.14,0.36,0.40,789.50
cl,Lectura,6,General_país,0,Todos,,,,,,0.05,0.37,0.24,0.34,770.01
cl,Matemáticas,3,General_país,0,Todos,,,,,,0.15,0.23,0.39,0.22,778.46
cl,Matemáticas,6,General_país,0,Todos,,,,,,0.16,0.39,0.26,0.18,784.00
co,Ciencias,6,General_país,0,Todos,0.33,0.46,0.16,0.05,710.66,0.28,0.43,0.22,0.08,729.88
co,Lectura,3,General_país,0,Todos,0.36,0.20,0.26,0.17,715.57,0.32,0.23,0.32,0.13,714.17
co,Lectura,6,General_país,0,Todos,0.16,0.47,0.18,0.20,719.31,0.10,0.52,0.21,0.18,725.65
co,Matemáticas,3,General_país,0,Todos,0.44,0.29,0.22,0.06,704.84,0.48,0.28,0.20,0.05,696.47
co,Matemáticas,6,General_país,0,Todos,0.42,0.41,0.13,0.03,706.80,0.42,0.42,0.12,0.03,705.91
cr,Ciencias,6,General_país,0,Todos,0.14,0.47,0.28,0.11,757.65,0.19,0.45,0.25,0.11,749.41
cr,Lectura,3,General_país,0,Todos,0.25,0.18,0.30,0.27,747.56,0.18,0.22,0.39,0.21,748.36
cr,Lectura,6,General_país,0,Todos,0.07,0.39,0.23,0.31,757.26,0.04,0.46,0.27,0.23,750.66
cr,Matemáticas,3,General_país,0,Todos,0.33,0.29,0.29,0.09,725.16,0.23,0.31,0.37,0.09,745.34
cr,Matemáticas,6,General_país,0,Todos,0.32,0.47,0.17,0.03,725.99,0.30,0.49,0.17,0.04,727.92
cu,Ciencias,6,General_país,0,Todos,0.17,0.34,0.24,0.24,779.13,,,,,
cu,Lectura,3,General_país,0,Todos,0.30,0.20,0.28,0.21,730.49,,,,,
cu,Lectura,6,General_país,0,Todos,0.12,0.44,0.19,0.26,737.93,,,,,
cu,Matemáticas,3,General_país,0,Todos,0.25,0.27,0.32,0.16,750.55,,,,,
cu,Matemáticas,6,General_país,0,Todos,0.53,0.26,0.14,0.06,689.01,,,,,
do,Ciencias,6,General_país,0,Todos,0.60,0.34,0.05,0.01,649.21,0.65,0.31,0.04,0.01,642.96
do,Lectura,3,General_país,0,Todos,0.73,0.12,0.11,0.04,623.93,0.74,0.15,0.09,0.02,622.38
do,Lectura,6,General_país,0,Todos,0.41,0.43,0.09,0.07,643.95,0.38,0.54,0.06,0.02,637.48
do,Matemáticas,3,General_país,0,Todos,0.80,0.13,0.06,0.00,623.90,0.85,0.10,0.04,0.01,612.73
do,Matemáticas,6,General_país,0,Todos,0.77,0.21,0.02,0.00,635.88,0.80,0.18,0.01,0.00,630.45
ec,Ciencias,6,General_país,0,Todos,0.31,0.43,0.19,0.07,720.12,0.38,0.42,0.16,0.04,700.77
ec,Lectura,3,General_país,0,Todos,0.42,0.20,0.25,0.13,699.02,0.38,0.24,0.28,0.10,699.46
ec,Lectura,6,General_país,0,Todos,0.26,0.48,0.14,0.12,684.25,0.21,0.56,0.13,0.10,686.24
ec,Matemáticas,3,General_país,0,Todos,0.43,0.26,0.23,0.08,709.22,0.48,0.27,0.21,0.05,698.12
ec,Matemáticas,6,General_país,0,Todos,0.38,0.39,0.17,0.06,719.80,0.45,0.41,0.11,0.03,699.09
gt,Ciencias,6,General_país,0,Todos,0.55,0.36,0.08,0.02,660.77,0.44,0.41,0.12,0.03,686.64
gt,Lectura,3,General_país,0,Todos,0.61,0.16,0.16,0.07,655.56,0.46,0.24,0.23,0.07,681.41
gt,Lectura,6,General_país,0,Todos,0.39,0.45,0.09,0.07,645.27,0.20,0.60,0.12,0.07,679.57
gt,Matemáticas,3,General_país,0,Todos,0.65,0.22,0.11,0.01,661.87,0.60,0.22,0.14,0.04,676.68
gt,Matemáticas,6,General_país,0,Todos,0.66,0.27,0.06,0.01,657.28,0.56,0.35,0.07,0.02,676.11
hn,Ciencias,6,General_país,0,Todos,0.49,0.39,0.09,0.03,674.01,0.50,0.38,0.10,0.02,673.72
hn,Lectura,3,General_país,0,Todos,0.53,0.19,0.19,0.09,674.54,0.46,0.25,0.23,0.07,683.15
hn,Lectura,6,General_país,0,Todos,0.31,0.53,0.10,0.06,661.25,0.25,0.59,0.11,0.05,666.91
hn,Matemáticas,3,General_país,0,Todos,0.47,0.25,0.20,0.08,701.94,0.56,0.25,0.16,0.04,682.79
hn,Matemáticas,6,General_país,0,Todos,0.55,0.34,0.09,0.02,682.35,0.62,0.31,0.05,0.01,665.70
mx,Ciencias,6,General_país,0,Todos,0.26,0.47,0.22,0.06,726.06,0.27,0.43,0.23,0.07,728.42
mx,Lectura,3,General_país,0,Todos,0.37,0.20,0.25,0.17,713.14,0.33,0.23,0.28,0.16,717.69
mx,Lectura,6,General_país,0,Todos,0.15,0.43,0.19,0.23,725.56,0.10,0.48,0.21,0.21,731.94
mx,Matemáticas,3,General_país,0,Todos,0.35,0.26,0.30,0.09,722.27,0.30,0.25,0.33,0.12,737.20
