Estudio,pais,materia,grado,ERCE_nivel_1,ERCE_nivel_2,ERCE_nivel_3,ERCE_nivel_4,ERCE_puntaje_promedio,TERCE_nivel_1,TERCE_nivel_2,TERCE_nivel_3,TERCE_nivel_4,TERCE_puntaje_promedio,,
ERCE_2019,ar,Ciencias,6,0.442597762,0.41634874,0.116433131,0.024620367,681.81,0.40071181,0.38844058,0.15306127,0.05778634,699.1640783,,
ERCE_2019,ar,Lectura,3,0.460335468,0.176813083,0.223913924,0.138937525,688.51,0.38463263,0.22681956,0.26673862,0.12180918,701.8829929,,
ERCE_2019,ar,Lectura,6,0.219361735,0.462013335,0.158850764,0.159774166,697.64,0.16744804,0.50727749,0.17410034,0.15117413,706.7039408,,
ERCE_2019,ar,Matematicas,3,0.489197823,0.244802898,0.21521251,0.050786769,689.73,0.38996297,0.26335743,0.26560712,0.08107248,713.5427396,,
ERCE_2019,ar,Matematicas,6,0.499498018,0.368573304,0.113488445,0.018440232,689.74,0.36845105,0.42455525,0.15941946,0.04757423,717.7561166,,
ERCE_2019,br,Ciencias,6,0.318979001,0.422009724,0.174636917,0.084374358,718.46,0.37228148,0.42877431,0.15263995,0.04630426,701.3776267,,
ERCE_2019,br,Lectura,3,0.276133205,0.151862592,0.271302814,0.300701389,747.75,0.33700656,0.21558435,0.32021288,0.1271962,712.0851543,,
ERCE_2019,br,Lectura,6,0.126322814,0.438541968,0.18818491,0.246950308,734.44,0.10995355,0.5215434,0.20235187,0.16615118,721.4006029,,
ERCE_2019,br,Matematicas,3,0.309882701,0.221239312,0.288683404,0.180194583,743.78,0.37455523,0.23771039,0.2676579,0.12007648,724.8849804,,
ERCE_2019,br,Matematicas,6,0.351827857,0.360220936,0.193882327,0.094068881,732.98,0.39836811,0.43499136,0.12619257,0.04044796,710.1998055,,
ERCE_2019,cl,Ciencias,6,,,,,,0.22794253,0.34695129,0.24527384,0.17983234,759.1816106,,
ERCE_2019,cl,Lectura,3,,,,,,0.10001148,0.14445754,0.35678438,0.3987466,789.4954003,,
ERCE_2019,cl,Lectura,6,,,,,,0.04846537,0.36772173,0.24177318,0.34203972,770.011768,,
ERCE_2019,cl,Matematicas,3,,,,,,0.15364103,0.2335951,0.39426743,0.21849644,778.4582512,,
ERCE_2019,cl,Matematicas,6,,,,,,0.16215505,0.39462314,0.25927668,0.18394513,784.0045723,,
ERCE_2019,co,Ciencias,6,0.325881219,0.463788288,0.158442954,0.05188754,710.66,0.27613319,0.42568629,0.21995505,0.07822548,729.8779083,,
ERCE_2019,co,Lectura,3,0.358484433,0.204075432,0.263182787,0.174257348,715.57,0.32148838,0.23051357,0.31695461,0.13104343,714.1744636,,
ERCE_2019,co,Lectura,6,0.155045679,0.470049511,0.177813455,0.197091355,719.31,0.09695287,0.51600662,0.20964793,0.17739258,725.6495079,,
ERCE_2019,co,Matematicas,3,0.435926277,0.286414432,0.217920073,0.059739218,704.84,0.47993946,0.27674071,0.19732429,0.04599554,696.4747004,,
ERCE_2019,co,Matematicas,6,0.424566173,0.409439814,0.132887366,0.033106647,706.8,0.42236128,0.42422074,0.11976773,0.03365024,705.9118536,,
ERCE_2019,cr,Ciencias,6,0.142817485,0.467792722,0.281261417,0.108128376,757.65,0.18817869,0.45064658,0.24886062,0.11231412,749.411849,,
ERCE_2019,cr,Lectura,3,0.253105854,0.176350509,0.297958814,0.272584823,747.56,0.17607701,0.21979521,0.39433685,0.20979093,748.3612386,,
ERCE_2019,cr,Lectura,6,0.071599232,0.387880701,0.234296415,0.306223652,757.26,0.04498754,0.45877595,0.26792504,0.22831147,750.6648663,,
ERCE_2019,cr,Matematicas,3,0.333852218,0.288697286,0.29081378,0.086636717,725.1595875,0.23137462,0.31305036,0.36502378,0.09055124,745.3376111,,
ERCE_2019,cr,Matematicas,6,0.315939516,0.474857523,0.174400316,0.034802645,725.99,0.29919114,0.48906822,0.16722642,0.04451423,727.9182374,,
ERCE_2019,cu,Ciencias,6,0.170112224,0.343737544,0.241660196,0.244490036,779.13,,,,,,,
ERCE_2019,cu,Lectura,3,0.302841976,0.201964515,0.284046279,0.21114723,730.49,,,,,,,
ERCE_2019,cu,Lectura,6,0.119104171,0.435213581,0.185467033,0.260215216,737.93,,,,,,,
ERCE_2019,cu,Matematicas,3,0.249712536,0.267299468,0.323180279,0.159807717,750.55,,,,,,,
ERCE_2019,cu,Matematicas,6,0.529930929,0.263664607,0.143532835,0.062871628,689.01,,,,,,,
ERCE_2019,do,Ciencias,6,0.603145524,0.340932807,0.05003145,0.005890219,649.21,0.64655114,0.30995982,0.03735626,0.00613279,642.9572657,,
ERCE_2019,do,Lectura,3,0.729648532,0.118868492,0.107711098,0.043771877,623.93,0.74112276,0.14903936,0.08869886,0.02113903,622.3791594,,
ERCE_2019,do,Lectura,6,0.406562534,0.429578494,0.091655177,0.072203795,643.95,0.37811391,0.54179383,0.05894416,0.0211481,637.4803871,,
ERCE_2019,do,Matematicas,3,0.801090239,0.132323797,0.062135793,0.00445017,623.8986522,0.84776155,0.10295794,0.04034862,0.0089319,612.7340255,,
ERCE_2019,do,Matematicas,6,0.770069279,0.208330659,0.020369377,0.001230685,635.88,0.80056207,0.18448206,0.01334226,0.00161361,630.446034,,
ERCE_2019,ec,Ciencias,6,0.305464378,0.428505158,0.193292742,0.072737722,720.12,0.38498908,0.41521337,0.15760028,0.04219727,700.7656684,,
ERCE_2019,ec,Lectura,3,0.419488943,0.196382171,0.250523322,0.133605565,699.02,0.38064139,0.24337101,0.2761766,0.099811,699.4623521,,
ERCE_2019,ec,Lectura,6,0.259928116,0.479009526,0.141331877,0.119730482,684.25,0.20767083,0.55563925,0.13355001,0.10313992,686.2402578,,
ERCE_2019,ec,Matematicas,3,0.43016646,0.260468427,0.226606434,0.082758679,709.22,0.47842332,0.26764579,0.20872417,0.04520672,698.1222764,,
ERCE_2019,ec,Matematicas,6,0.375928585,0.394946471,0.172087912,0.057037031,719.8,0.4481331,0.41113773,0.10997018,0.03075899,699.0895088,,
ERCE_2019,gt,Ciencias,6,0.545972391,0.35621883,0.077756102,0.020052676,660.77,0.4449813,0.4080553,0.11538471,0.03157869,686.6364924,,
ERCE_2019,gt,Lectura,3,0.606840707,0.16105594,0.157970976,0.074132378,655.56,0.46070555,0.23738056,0.22917645,0.07273744,681.4115407,,
ERCE_2019,gt,Lectura,6,0.387681505,0.452941237,0.089438517,0.069938741,645.27,0.20489611,0.60093462,0.12173115,0.07243813,679.5717779,,
ERCE_2019,gt,Matematicas,3,0.648952437,0.223837344,0.113006933,0.014203286,661.87,0.60147457,0.21962786,0.14155388,0.0373437,676.6758525,,
ERCE_2019,gt,Matematicas,6,0.662342376,0.271031468,0.057526936,0.00909922,657.28,0.56382522,0.34977925,0.07081226,0.01558327,676.1069013,,
ERCE_2019,hn,Ciencias,6,0.491698578,0.389879749,0.092329269,0.026092404,674.01,0.50095379,0.38151349,0.09714366,0.02038906,673.7175727,,
ERCE_2019,hn,Lectura,3,0.527410655,0.190099986,0.193288128,0.089201231,674.54,0.4569942,0.24681427,0.2283891,0.06780243,683.1512328,,
ERCE_2019,hn,Lectura,6,0.306913471,0.531203383,0.100569706,0.06131344,661.25,0.25171419,0.59109115,0.1116397,0.04555497,666.913017,,
ERCE_2019,hn,Matematicas,3,0.465355307,0.25081586,0.203942514,0.079886319,701.94,0.55666348,0.24573807,0.15503169,0.04256677,682.7898059,,
ERCE_2019,hn,Matematicas,6,0.545474518,0.342535327,0.088139466,0.023850689,682.35,0.62097622,0.31187606,0.05379464,0.01335307,665.7046459,,
ERCE_2019,mx,Ciencias,6,0.257479145,0.466907959,0.219887237,0.05572566,726.06,0.26986734,0.4339431,0.22942043,0.06676912,728.4191959,,
ERCE_2019,mx,Lectura,3,0.374338968,0.19765217,0.253522407,0.174486455,713.14,0.33050367,0.22704019,0.28292435,0.15953179,717.6850968,,
ERCE_2019,mx,Lectura,6,0.15187137,0.432013624,0.188563052,0.227551954,725.56,0.09593439,0.47971179,0.21445567,0.20989815,731.93959,,
ERCE_2019,mx,Matematicas,3,0.347339135,0.264797376,0.299307552,0.088555937,722.2662954,0.30319938,0.24973554,0.32714483,0.11992025,737.2004168,,
ERCE_2019,mx,Matematicas,6,0.242711559,0.376817553,0.261144693,0.119326195,757.94,0.23043277,0.40086858,0.2317016,0.13699705,761.3002932,,
ERCE_2019,ni,Ciencias,6,0.493442893,0.453665212,0.049570672,0.002761603,669.35,0.49592345,0.40291509,0.08517156,0.0159899,672.6343072,,
ERCE_2019,ni,Lectura,3,0.639013577,0.188772279,0.138337203,0.033876941,645.89,0.56181779,0.24085977,0.16065688,0.03666556,659.607435,,
ERCE_2019,ni,Lectura,6,0.313975127,0.555827644,0.089652892,0.039984719,654.14,0.25614593,0.59750276,0.10397845,0.04237286,662.6636605,,
ERCE_2019,ni,Matematicas,3,0.653390539,0.226332554,0.098484081,0.021792825,662.5,0.67995917,0.20118493,0.09905207,0.01980383,658.1847727,,
ERCE_2019,ni,Matematicas,6,0.655625008,0.312844269,0.029723147,0.001247957,663.22,0.70966125,0.26123156,0.02532988,0.00377731,648.3355039,,
ERCE_2019,pa,Ciencias,6,0.485537111,0.396467497,0.097683455,0.020311937,672.0322724,0.48940351,0.36093579,0.11992055,0.02974014,678.5420006,,
ERCE_2019,pa,Lectura,3,0.588570423,0.167186776,0.167451099,0.076791702,659.1197114,0.48915621,0.23335411,0.21480244,0.06268723,672.1675954,,
ERCE_2019,pa,Lectura,6,0.372082444,0.453091751,0.100184575,0.07464123,651.62,0.25814569,0.53004645,0.1382671,0.07354075,673.252744,,
ERCE_2019,pa,Matematicas,3,0.683763626,0.217626506,0.09097196,0.007637907,654.03,0.60144009,0.23603414,0.14183465,0.02069112,668.4504007,,
ERCE_2019,pa,Matematicas,6,0.722260809,0.244852478,0.030212289,0.002674423,644.61,0.67519421,0.28248079,0.03464868,0.00767633,650.4299495,,
ERCE_2019,pe,Ciencias,6,0.263351077,0.488362718,0.195489952,0.052796253,723,0.38092133,0.41958845,0.15119827,0.04829195,701.0706482,,
ERCE_2019,pe,Lectura,3,0.244424409,0.159963274,0.287556394,0.308055923,753.08,0.32358794,0.20966929,0.310637,0.15610577,718.0086354,,
ERCE_2019,pe,Lectura,6,0.141293884,0.368815587,0.189537835,0.300352694,741.22,0.18395662,0.50291528,0.17821377,0.13491433,701.5344393,,
ERCE_2019,pe,Matematicas,3,0.292807252,0.237190811,0.322292126,0.14770981,740.29,0.39588392,0.25109357,0.26400216,0.08902035,715.4638872,,
ERCE_2019,pe,Matematicas,6,0.247113588,0.363658466,0.25928915,0.129938797,759.3,0.37735076,0.39622759,0.15482317,0.07159848,718.7018371,,
ERCE_2019,py,Ciencias,6,0.553833231,0.354826776,0.075937565,0.015402428,657.48,0.59330182,0.31231713,0.07139534,0.02298571,653.943438,,
ERCE_2019,py,Lectura,3,0.514584066,0.17789406,0.196728463,0.110793411,675.25,0.57389174,0.19673754,0.1622373,0.06713342,655.7393176,,
ERCE_2019,py,Lectura,6,0.34600409,0.466423721,0.106913024,0.080659166,657.16,0.33841666,0.50326415,0.09944072,0.05887847,653.4014137,,
ERCE_2019,py,Matematicas,3,0.617061473,0.195127224,0.137351631,0.050459673,665.75,0.66512101,0.17047916,0.12632932,0.03807051,654.2692164,,
ERCE_2019,py,Matematicas,6,0.693176199,0.250787045,0.04860018,0.007436576,647.36,0.69306573,0.24821999,0.05111516,0.00759912,645.424844,,
ERCE_2019,sv,Ciencias,6,0.342084531,0.471727801,0.14633084,0.039856828,705.13,,,,,,,
ERCE_2019,sv,Lectura,3,0.436052363,0.192994712,0.234428664,0.136524261,696.76,,,,,,,
ERCE_2019,sv,Lectura,6,0.195630733,0.511021724,0.1547351,0.138612443,698.77,,,,,,,
ERCE_2019,sv,Matematicas,3,0.498507378,0.27629003,0.192818992,0.0323836,690.57,,,,,,,
ERCE_2019,sv,Matematicas,6,0.577857588,0.346783844,0.065736212,0.009622356,675.89,,,,,,,
ERCE_2019,uy,Ciencias,6,0.281578275,0.402122832,0.202296117,0.114002775,731.44,0.32841788,0.37976873,0.19553712,0.09627627,722.5362523,,
ERCE_2019,uy,Lectura,3,0.35602415,0.169901416,0.245629523,0.22844491,722.7273486,0.2855553,0.23283748,0.31455237,0.16705485,724.3883851,,
ERCE_2019,uy,Lectura,6,0.147351875,0.415415168,0.171547014,0.265685943,734.05,0.11291613,0.45214757,0.21399012,0.22094619,732.5720266,,
ERCE_2019,uy,Matematicas,3,0.371714374,0.244974918,0.262902305,0.120408403,721.87,0.31922488,0.22772523,0.3166599,0.13638999,737.4110632,,
ERCE_2019,uy,Matematicas,6,0.25239825,0.36755517,0.240674815,0.139371765,759.47,0.26093952,0.36450675,0.24290599,0.13164774,758.1321539,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
